plot,date,plot.id,tree.id,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,prt.deep.char,killed.by,canopy.str,cone.op.cl,cone.ct,snag.cwd,decay,fall prior to fire,prefire.cwd,time.fall,stand.pre.mpb,stand.post.mpb,stand.post.fire,length,full.length,collected as CWD,basalarea,deletebcDECAY,missing data,doublelist,deleteb/c multiple pieces related to single stems,,
52,08/07/2016,TL0807M2,SW2,D,O,NB,13.5,9,100,3,100,OPF,none,none,0,cwd,2,DURING,Y,prefire,Y,Y,N,NA,,X,,,,$,,,
2,06/30/2016,CEC0630H1,cwd,D,NC,,10.5,,,,0,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,11,,X,,,,,*,,
4,07/02/2016,CEC0702M1,cwd,D,O,,8.0,,,,95,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,3+,,X,,,,,,,
4,07/02/2016,CEC0702M1,cwd,D,Y,,16.0,,,,3,MPB,,,,cwd,1,N,N,postfire,Y,Y,N,2+,,X,,,,,,,
6,07/03/2016,CEC0703M1,cwd,D,N,,8.5,,,,65,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,2,,X,,,,,,,
9,07/05/2016,CEC0705H3,cwd,D,NC,,9.0,,,,100,OPF,,,,cwd,2,N,N,postfire,Y,Y,N,3,,X,,,,,,,
9,07/05/2016,CEC0705H3,cwd,D,NC,,2.5,,,,100,OPF,,,,cwd,2,N,N,postfire,Y,Y,N,3+,,X,,,,,,,
10,07/05/2016,CEC0705H4,cwd,D,NC,,8.0,,,,100,OPF,,,,cwd,2,N,N,postfire,Y,Y,N,3+,,X,,,,,,,
10,07/05/2016,CEC0705H4,cwd,D,N,,9.0,,,,10,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,9+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,Y,,14.0,,,,2,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,3+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,N,,8.5,,,,0,,,,,cwd,1,N,N,postfire,Y,Y,N,4+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,O,,9.5,,,,2,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,.5+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,O,,10.5,,,,1,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,1.5+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,O,,13.5,,,,0,OPF,,,,cwd,1,N,N,postfire,Y,Y,N,2+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,Y,,18.0,,,,7,MPB,,,,cwd,1,N,N,postfire,Y,Y,N,5+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,Y,,16.5,,,,5,MPB,,,,cwd,1,N,N,postfire,Y,Y,N,7+,,X,,,,,,,
12,07/06/2016,CEC0706L1,cwd,D,Y,,14.5,,,,3,MPB,,,,cwd,1,N,N,postfire,Y,Y,N,.5+,,X,,,,,,,
14,07/06/2016,CEC0706L3,cwd,D,Y,,22.5,,,,20,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,10+,,X,,,,,,,
14,07/06/2016,CEC0706L3,cwd,D,Y,,22.5,,,,15,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,5+,,X,,,,,,,
14,07/06/2016,CEC0706L3,cwd,D,Y,,25.5,,,,15,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,1+,,X,,,,,,,
15,07/07/2016,EF0707M1,NE1,D,Y,Y,14.5,6,45,2,30,MPB,none,none,0,cwd,1,N,N,postfire,Y,Y,N,8+,,X,Y,,,$,,,
15,07/07/2016,EF0707M1,NW1,D,Y,Y,13.0,6,20,2,10,MPB,none,none,0,cwd,2,N,N,postfire,Y,Y,N,6+,,X,Y,,,$,,,
15,07/07/2016,EF0707M1,SE3,D,Y,Y,24.5,18.5,65,3,25,MPB,none,none,0,cwd,1,N,N,postfire,Y,Y,N,18.5,,X,Y,,,$,,,
16,07/07/2016,EF0707H2,cwd,D,NA,,12.0,,,,95,,,,,cwd,NA,N,N,postfire,Y,Y,N,8,,X,,#,!,,,,
17,07/07/2016,EF0707H1,cwd,D,Y,,13.0,,,,60,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,5+,,X,,,,,,,
17,07/07/2016,EF0707H1,cwd,D,NC,,8.5,,,,90,OPF,,,,cwd,2,N,N,postfire,,N,N,3,,X,,,,,,,
20,07/10/2016,EF0710M1,SW1,D,Y,,21.5,,,,35,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,NA,,X,Y,,,$,,,
24,07/11/2016,EF0711L2,cwd,D,Y,,16.0,,,,3,MPB,,,,cwd,2,N,N,postfire,Y,Y,N,1+,,X,,,,,,,
