plot,fire.type,seedling.ct,seedling.area,prop.bom,covert_100m,seedlings_100m,covert_ha,seedlings_ha
1,sev.surf,3,4,0,25,75,100,7500
2,sev.surf,68,4,0,25,1700,100,170000
3,surface,15,4,0.404761905,25,375,100,37500
4,sev.surf,6,4,1,25,150,100,15000
5,crown,15,4,0,25,375,100,37500
6,surface,0,4,0.8,25,0,100,0
7,crown,4,4,1,25,100,100,10000
8,crown,6,4,1,25,150,100,15000
9,crown,6,4,1,25,150,100,15000
10,crown,5,4,0,25,125,100,12500
11,crown,3,4,1,25,75,100,7500
12,surface,13,4,0.5,25,325,100,32500
13,surface,8,4,0.666666667,25,200,100,20000
14,surface,0,4,0.7,25,0,100,0
15,sev.surf,49,100,1,1,49,100,4900
16,crown,69,100,0.833333333,1,69,100,6900
17,sev.surf,111,52,0.875,1.923,213.453,100,21345.3
18,surface,26,52,0.928571429,1.923,49.998,100,4999.8
19,sev.surf,33,52,0.833333333,1.923,63.459,100,6345.9
20,sev.surf,66,52,1,1.923,126.918,100,12691.8
21,crown,119,52,0,1.923,228.837,100,22883.7
22,crown,85,52,0.153846154,1.923,163.455,100,16345.5
23,surface,94,52,1,1.923,180.762,100,18076.2
24,surface,33,52,0.833333333,1.923,63.459,100,6345.9
25,crown,107,52,0,1.923,205.761,100,20576.1
26,crown,106,52,0,1.923,203.838,100,20383.8
27,sev.surf,374,52,0.909090909,1.923,719.202,100,71920.2
28,surface,14,52,0.909090909,1.923,26.922,100,2692.2
29,sev.surf,7,52,0.16,1.923,13.461,100,1346.1
30,sev.surf,74,52,0.777777778,1.923,142.302,100,14230.2
31,sev.surf,22,51,0,1.923,42.306,100,4230.6
32,surface,0,52,0.266666667,1.923,0,100,0
33,crown,6,52,0,1.923,11.538,100,1153.8
34,crown,538,52,0,1.923,1034.574,100,103457.4
35,sev.surf,25,52,1,1.923,48.075,100,4807.5
36,crown,1,52,0.096774194,1.923,1.923,100,192.3
37,surface,134,52,0.9375,1.923,257.682,100,25768.2
38,crown,68,52,0.75,1.923,130.764,100,13076.4
39,surface,12,52,0.5,1.923,23.076,100,2307.6
40,crown,200,52,0.6,1.923,384.6,100,38460
41,crown,3,52,1,1.923,5.769,100,576.9
42,surface,143,52,0.518518519,1.923,274.989,100,27498.9
43,sev.surf,17,52,0.611111111,1.923,32.691,100,3269.1
44,surface,9,52,0.944444444,1.923,17.307,100,1730.7
45,sev.surf,29,52,1,1.923,55.767,100,5576.7
46,surface,23,52,1,1.923,44.229,100,4422.9
47,surface,33,52,0.714285714,1.923,63.459,100,6345.9
48,sev.surf,2,52,0.9,1.923,3.846,100,384.6
49,surface,6,52,0.916666667,1.923,11.538,100,1153.8
50,sev.surf,39,52,0.85,1.923,74.997,100,7499.7
51,sev.surf,15,52,1,1.923,28.845,100,2884.5
52,sev.surf,11,52,0.818181818,1.923,21.153,100,2115.3
53,sev.surf,60,52,0.833333333,1.923,115.38,100,11538
54,surface,10,52,0.923076923,1.923,19.23,100,1923
55,surface,10,52,0.368421053,1.923,19.23,100,1923
56,crown,20,52,0.636363636,1.923,38.46,100,3846
57,crown,28,52,0.555555556,1.923,53.844,100,5384.4
58,crown,39,51,0,1.961,76.479,100,7647.9
59,surface,27,52,0.709677419,1.923,51.921,100,5192.1
60,sev.surf,46,52,0.55,1.923,88.458,100,8845.8
61,surface,3,52,0.25,1.923,5.769,100,576.9
62,sev.surf,96,52,0.615384615,1.923,184.608,100,18460.8
63,crown,17,51,0.866666667,1.961,33.337,100,3333.7
64,unburned,10,100,1,1,10,100,1000
65,unburned,7,100,0.916666667,1,7,100,700
66,unburned,40,100,0.5,1,40,100,4000
67,unburned,14,100,1,1,14,100,1400
68,unburned,37,100,0.692307692,1,37,100,3700
69,unburned,22,100,1,1,22,100,2200
70,unburned,21,100,1,1,21,100,2100
71,unburned,3,100,0.692307692,1,3,100,300
72,surface,6,100,0.4,1,6,100,600
73,surface,42,100,0.5,1,42,100,4200
74,unburned,69,100,0.407407407,1,69,100,6900
75,surface,34,100,0.555555556,1,34,100,3400
76,unburned,61,100,0.7,1,61,100,6100
77,unburned,13,100,0.545454545,1,13,100,1300
78,unburned,28,100,0.8,1,28,100,2800
79,unburned,25,100,0.5,1,25,100,2500
80,unburned,13,100,0.916666667,1,13,100,1300
81,unburned,48,100,0.8,1,48,100,4800
82,unburned,24,100,0.25,1,24,100,2400
83,unburned,35,100,0.730769231,1,35,100,3500
