plot,seedling.ct,seedling.area
1,3,4
2,68,4
3,15,4
4,6,4
5,15,4
6,0,4
7,4,4
8,6,4
9,6,4
10,5,4
11,3,4
12,13,4
13,8,4
14,0,4
15,49,100
16,69,100
17,111,52
18,26,52
19,33,52
20,66,52
21,119,52
22,85,52
23,94,52
24,33,52
25,107,52
26,106,52
27,374,52
28,14,52
29,7,52
30,74,52
31,22,51
32,0,52
33,6,52
34,538,52
35,25,52
36,1,52
37,134,52
38,68,52
39,12,52
40,200,52
41,3,52
42,143,52
43,17,52
44,9,52
45,29,52
46,23,52
47,33,52
48,2,52
49,6,52
50,39,52
51,15,52
52,11,52
53,60,52
54,10,52
55,10,52
56,20,52
57,28,52
58,39,51
59,27,52
60,46,52
61,3,52
62,96,52
63,17,51
