plot,stems,FIRE,MPB,UNK,OPF,LIVE,DC1,DC2,DC3,DC4,full,live,none,partial,DBH_mean,scorch_mean,height_mean,cones_mean,Plot_ID,vis_FE,UTM_E,UTM_N,Fire_id,Burndate,Terrain_SD,temp,rh,ws,precip,ffmc,dmc,dc,isi,bui,fwi,PFM,GV.sur,char.sur,soil.sur,litter.sur,rock.sur,dwood.sur,cwd.sur,other.sur,deadveg.sur,duff.dpth,seed.sub,seed.quad,elevation,aspect,slope
1,7,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,9.6,57.1,4.6,40.3,CEC0629M1,moderate,334151,5904342,R10070_2014,213,-0.19,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,0.0,35,46.75,16.25,0,0,1.25,0.75,0,0,0.9,0.75,NA,937,0,5
10,11,18.2,0.0,0.0,81.8,0.0,18.2,9.1,72.7,0.0,0.0,18.2,81.8,0.0,11.2,87.3,7.6,15.5,CEC0705H4,high,334978,5905205,R10070_2014,213,-0.08,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,81.8,21.75,4.25,69,0,5,0,0,0,0,0.0,1.25,NA,997,205,1
11,6,0.0,33.3,0.0,66.7,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,21.0,100.0,13.8,0.0,CEC0705H5,high,334794,5904865,R10070_2014,213,0.03,27.3,21.2,1.8,0,93.9,62.6,397.3,8.1,89.8,25.9,100.0,33.75,44.75,19.5,1,0.75,0,0,0,0,0.6,0.75,NA,968,169,2
12,18,44.4,16.7,0.0,33.3,5.6,50.0,50.0,0.0,0.0,61.1,27.8,5.6,5.6,12.3,6.6,1.5,64.4,CEC0706L1,low,334102,5905051,R10070_2014,214,0.01,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,50.0,37.5,6,3.75,50.25,0,2.5,0,0,0,1.0,3.25,NA,975,168,2
13,18,22.2,50.0,0.0,16.7,11.1,38.9,61.1,0.0,0.0,61.1,27.8,0.0,11.1,14.1,3.3,0.7,132.7,CEC0706L2,low,334026,5905243,R10070_2014,214,0.09,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,66.7,42.5,12,0,46.75,0,0,0,0,0,1.0,2,NA,999,284,10
14,10,20.0,60.0,0.0,10.0,10.0,30.0,70.0,0.0,0.0,80.0,20.0,0.0,0.0,19.9,12.8,2.4,104.0,CEC0706L3,low,334687,5905600,R10070_2014,214,0.05,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,70.0,40,36,1.25,22,0.75,0,0,0,0,1.4,0,NA,1025,95,0
15,3,0.0,100.0,0.0,0.0,0.0,0.0,66.7,33.3,0.0,0.0,0.0,100.0,0.0,17.3,43.3,10.2,0.0,EF0707M1,moderate,331883,5899958,R10171_2012,223,0.11,19.1,40,6.7,0,88.6,46.9,460,4.9,74.7,16.4,100.0,30,14.5,13,37.75,0.25,4.5,0,0,0,0.8,0.75,12.25,949,132,10
16,6,16.7,50.0,0.0,33.3,0.0,16.7,0.0,50.0,33.3,16.7,0.0,83.3,0.0,18.5,95.5,10.3,58.3,EF0707H2,high,332162,5900377,R10171_2012,217,0.02,27.7,31,8.8,0,91.7,41.2,426.6,8.5,66.4,22.9,83.3,26.25,23.5,48.75,0.666666667,1,0,0,0,0,0.3,0.75,17.25,947,210,2
17,24,12.5,45.8,0.0,41.7,0.0,29.2,37.5,33.3,0.0,25.0,29.2,45.8,0.0,12.0,70.7,9.6,68.0,EF0707H1,moderate,332007,5900240,R10171_2012,217,0.44,27.7,31,8.8,0,91.7,41.2,426.6,8.5,66.4,22.9,87.5,37.5,31.75,6.75,17.25,0.5,5.5,0,0,0,1.0,3,53,944,198,2
18,14,0.0,71.4,7.1,14.3,7.1,42.9,57.1,0.0,0.0,50.0,35.7,7.1,7.1,16.8,2.3,0.6,95.5,CEC0709L1,low,334615,5906003,R10070_2014,214,0.00,27.2,27.7,2.4,0,94,67.5,405.2,8.4,95.3,27.4,85.7,35,17,18,40,0,0,0,0,0,2.8,2,10.5,1040,204,0
