plot,Plot_ID,plot.mpb,stems,bom,fire,live,upf,no.canopy,yes.canopy,no.seed,yes.seed,tot.stem,cone.ct,seed.density,disturbance,fire.type,burncon
1,CEC0629M1,LM1,7,0,7,0,0,0,7,0,7,7,282,75,beetle+fire,sev.surf,moderate
2,CEC0630H1,LM2,7,0,7,0,0,0,7,0,7,7,1150,1700,beetle+fire,sev.surf,moderate
3,CEC0701L1,LL3,42,17,21,3,1,4,38,28,14,42,3665,375,beetle+fire,surface,moderate
4,CEC0702M1,HM4,12,12,0,0,0,0,12,6,6,12,1286,150,beetle+fire,sev.surf,moderate
5,CEC0702H1,LH5,24,0,9,0,15,15,9,15,9,24,1585,375,beetle+fire,crown,moderate
6,CEC0703M1,LL6,20,16,4,0,0,10,10,15,5,20,680,2,beetle+fire,surface,moderate
7,CEC0705H1,HH7,6,6,0,0,0,6,0,6,0,6,0,100,beetle+fire,crown,moderate
8,CEC0705H2,MH8,11,11,0,0,0,11,0,11,0,11,0,150,beetle+fire,crown,moderate
9,CEC0705H3,LH09,14,14,0,0,0,14,0,14,0,14,0,150,beetle+fire,crown,moderate
10,CEC0705H4,LH10,11,0,2,0,9,9,2,9,2,11,170,125,beetle+fire,crown,moderate
11,CEC0705H5,LH11,6,6,0,0,0,6,0,6,0,6,0,75,beetle+fire,crown,moderate
12,CEC0706L1,LL12,18,9,8,1,0,1,17,13,5,18,1160,325,beetle+fire,surface,moderate
13,CEC0706L2,ML13,18,12,4,2,0,0,18,15,3,18,2389,200,beetle+fire,surface,moderate
14,CEC0706L3,ML14,10,7,2,1,0,0,10,2,8,10,1040,2,beetle+fire,surface,moderate
15,EF0707M1,HM15,3,3,0,0,0,3,0,3,0,3,0,62,beetle+fire,sev.surf,moderate
16,EF0707H2,MH16,6,5,1,0,0,5,1,5,1,6,350,72,beetle+fire,crown,moderate
17,EF0707H1,MM17,24,21,3,0,0,11,13,13,11,24,1632,256,beetle+fire,sev.surf,moderate
18,CEC0709L1,HL18,14,13,0,1,0,1,13,12,2,14,1337,121,beetle+fire,surface,moderate
19,CEC0709M1,MM19,18,15,3,0,0,2,16,8,10,18,2078,58,beetle+fire,sev.surf,moderate
20,EF0710M1,MM20,2,2,0,0,0,1,1,2,0,2,100,79,beetle+fire,sev.surf,extreme
21,EF0710H2,LH21,8,0,4,0,4,7,1,7,1,8,200,311,beetle+fire,crown,extreme
22,EF0710H1,LH22,13,2,2,1,8,8,5,11,2,13,1045,182,beetle+fire,crown,extreme
23,EF0711L1,ML23,10,10,0,0,0,0,10,8,2,10,1335,203,beetle+fire,surface,extreme
24,EF0711L2,HL24,12,10,2,0,0,0,12,5,7,12,2623,33,beetle+fire,surface,extreme
25,EF0712H1,LH25,4,0,1,0,3,3,1,3,1,4,5,154,beetle+fire,crown,moderate
26,EF0713H1,MH26,19,0,6,0,13,14,5,14,5,19,700,193,beetle+fire,crown,extreme
27,EF0713M1,MM27,11,10,1,0,0,2,9,7,4,11,566,1174,beetle+fire,sev.surf,extreme
28,EF0713L1,ML28,22,20,0,1,1,2,20,11,11,22,1025,37,beetle+fire,surface,extreme
29,BA0719M1,LM29,25,4,21,0,0,0,25,4,21,25,2240,19,beetle+fire,sev.surf,moderate
30,BA0719M2,MM30,9,7,2,0,0,1,8,2,7,9,317,171,beetle+fire,sev.surf,extreme
31,BA0719L1,LM31,6,0,3,0,3,0,6,2,4,6,820,22,beetle+fire,sev.surf,extreme
32,BA0720L1,LL32,15,4,7,4,0,0,15,9,6,15,944,2,beetle+fire,surface,extreme
33,BA0720H1,LH33,12,0,5,0,7,5,7,5,7,12,1205,18,beetle+fire,crown,moderate
34,BA0720H2,LH34,12,0,1,0,11,11,1,11,1,12,125,1077,beetle+fire,crown,extreme
35,BA0720M1,HM35,4,4,0,0,0,0,4,2,2,4,257,38,beetle+fire,sev.surf,moderate
36,BA0721H1,LH36,31,3,28,0,0,2,29,3,28,31,2447,14,beetle+fire,crown,moderate
37,BA0721L1,ML37,16,15,1,0,0,0,16,2,14,16,1591,347,beetle+fire,surface,moderate
38,BA0721H2,MH38,8,6,2,0,0,2,6,3,5,8,643,105,beetle+fire,crown,moderate
39,BA0722L1,LL39,26,13,3,9,1,0,26,25,1,26,1554,58,beetle+fire,surface,moderate
40,BA0722H1,MH40,10,6,4,0,0,6,4,6,4,10,330,493,beetle+fire,crown,moderate
41,BA0722H2,MH41,9,9,0,0,0,4,5,6,3,9,390,3,beetle+fire,crown,moderate
42,BA0728L1,LL42,27,14,2,11,0,0,27,22,5,27,2868,243,beetle+fire,surface,extreme
43,BA0729L1,MM43,18,11,5,2,0,0,18,14,4,18,1559,17,beetle+fire,surface,extreme
44,BA0730L1,HL44,18,17,0,1,0,6,12,12,6,18,1672,21,beetle+fire,surface,extreme
45,BA0730M1,HM45,10,10,0,0,0,4,6,7,3,10,24,99,beetle+fire,sev.surf,extreme
46,BA0730L2,HL46,9,9,0,0,0,1,8,6,3,9,1396,48,beetle+fire,surface,extreme
47,BA0730L3,LL47,14,10,4,0,0,4,10,6,8,14,412,133,beetle+fire,surface,moderate
48,BA0731M1,MM48,10,9,0,1,0,5,5,8,2,10,995,2,beetle+fire,sev.surf,extreme
49,BA0731L1,ML49,12,11,1,0,0,1,11,7,5,12,1475,19,beetle+fire,surface,extreme
50,BA0801M1,LM50,20,17,3,0,0,7,13,13,7,20,400,76,beetle+fire,sev.surf,extreme
51,BA0803M1,HM51,15,15,0,0,0,11,4,14,1,15,21,28,beetle+fire,sev.surf,extreme
52,TL0807M2,MM52,11,9,2,0,0,8,3,10,1,11,213,47,beetle+fire,sev.surf,moderate
53,TL0807M1,LM53,12,10,2,0,0,10,2,11,1,12,77,246,beetle+fire,sev.surf,moderate
54,TL0808L1,HL54,13,12,0,0,1,4,9,10,3,13,286,10,beetle+fire,surface,moderate
55,TL0809L1,LL55,19,7,6,4,2,0,19,12,7,19,1402,35,beetle+fire,surface,moderate
56,TL0809H1,LH56,11,7,4,0,0,6,5,7,4,11,59,44,beetle+fire,crown,moderate
57,TL0809H2,LH57,18,10,8,0,0,10,8,10,7,18,610,64,beetle+fire,crown,moderate
58,TL0810H1,LH58,18,0,7,0,11,9,9,10,8,18,625,63,beetle+fire,crown,moderate
59,TL0810L1,ML59,31,22,7,0,2,6,25,13,18,31,1264,75,beetle+fire,surface,moderate
60,TL0810M1,LM60,20,11,9,0,0,7,13,11,9,20,670,93,beetle+fire,sev.surf,moderate
61,TL0811L1,LL61,8,2,5,1,0,2,6,4,4,8,85,3,beetle+fire,surface,moderate
62,TL0811M1,LM62,26,16,10,0,0,18,8,19,7,26,438,242,beetle+fire,sev.surf,moderate
63,TL0811H1,LH63,15,13,2,0,0,13,2,13,2,15,1200,42,beetle+fire,crown,moderate
