plot,stems,cwd,live,snag,prefire.cwd,prefire.stem,prop.pfcwd,prop.cwd,seedling.ct,seedling.area,fire.type
1,8,1,0,7,7,1,0.875,0.125,3,4,sev.surf
2,26,19,0,7,8,18,0.307692308,0.730769231,68,4,sev.surf
3,45,3,0,42,42,3,0.933333333,0.066666667,15,4,surface
4,21,9,0,12,14,7,0.666666667,0.428571429,6,4,sev.surf
5,25,1,0,24,24,1,0.96,0.04,15,4,crown
6,30,10,0,20,21,9,0.7,0.333333333,0,4,surface
7,9,3,0,6,6,3,0.666666667,0.333333333,4,4,crown
8,16,5,0,11,11,5,0.6875,0.3125,6,4,crown
9,22,8,0,14,16,6,0.727272727,0.363636364,6,4,crown
10,14,3,0,11,13,1,0.928571429,0.214285714,5,4,crown
11,8,2,0,6,6,2,0.75,0.25,3,4,crown
12,31,13,0,18,26,5,0.838709677,0.419354839,13,4,surface
13,21,3,0,18,18,3,0.857142857,0.142857143,8,4,surface
14,14,4,1,9,13,1,0.928571429,0.285714286,0,4,surface
15,10,10,0,0,3,7,0.3,1,49,100,sev.surf
16,8,2,0,6,7,1,0.875,0.25,69,100,crown
17,26,2,0,24,26,0,1,0.076923077,111,52,sev.surf
18,14,0,0,14,14,0,1,0,26,52,surface
19,19,1,0,18,18,1,0.947368421,0.052631579,33,52,sev.surf
20,7,5,0,2,3,4,0.428571429,0.714285714,66,52,sev.surf
21,18,10,0,8,8,10,0.444444444,0.555555556,119,52,crown
22,13,3,0,10,10,3,0.769230769,0.230769231,85,52,crown
23,13,0,0,13,13,0,1,0,94,52,surface
24,17,5,0,12,13,4,0.764705882,0.294117647,33,52,surface
25,8,5,0,3,5,3,0.625,0.625,107,52,crown
26,21,2,0,19,19,2,0.904761905,0.095238095,106,52,crown
27,21,18,0,3,14,7,0.666666667,0.857142857,374,52,sev.surf
28,22,0,0,22,22,0,1,0,14,52,surface
29,27,2,0,25,27,0,1,0.074074074,7,52,sev.surf
30,16,7,0,9,13,3,0.8125,0.4375,74,52,sev.surf
31,16,10,0,6,11,5,0.6875,0.625,22,51,sev.surf
32,17,2,0,15,16,1,0.941176471,0.117647059,0,52,surface
33,14,2,0,12,12,2,0.857142857,0.142857143,6,52,crown
34,17,5,0,12,12,5,0.705882353,0.294117647,538,52,crown
35,8,4,0,4,4,4,0.5,0.5,25,52,sev.surf
36,32,1,0,31,31,1,0.96875,0.03125,1,52,crown
37,21,5,0,16,19,2,0.904761905,0.238095238,134,52,surface
38,13,5,0,8,9,4,0.692307692,0.384615385,68,52,crown
39,29,3,0,26,27,2,0.931034483,0.103448276,12,52,surface
40,11,1,0,10,11,0,1,0.090909091,200,52,crown
41,10,8,0,2,7,3,0.7,0.8,3,52,crown
42,28,1,10,17,28,0,1,0.035714286,143,52,surface
43,22,4,0,18,20,2,0.909090909,0.181818182,17,52,surface
44,18,7,0,11,12,6,0.666666667,0.388888889,9,52,surface
45,10,9,0,1,6,4,0.6,0.9,29,52,sev.surf
46,10,1,0,9,9,1,0.9,0.1,23,52,surface
47,14,10,0,4,6,8,0.428571429,0.714285714,33,52,surface
48,10,8,1,1,7,3,0.7,0.8,2,52,sev.surf
49,12,4,0,8,12,0,1,0.333333333,6,52,surface
50,20,12,0,8,13,7,0.65,0.6,39,52,sev.surf
51,15,15,0,0,7,8,0.466666667,1,15,52,sev.surf
52,11,2,0,9,10,1,0.909090909,0.181818182,11,52,sev.surf
53,12,6,0,6,8,4,0.666666667,0.5,60,52,sev.surf
54,13,10,0,3,6,7,0.461538462,0.769230769,10,52,surface
55,25,6,2,17,21,4,0.84,0.24,10,52,surface
56,11,7,0,4,4,7,0.363636364,0.636363636,20,52,crown
57,18,7,0,11,11,7,0.611111111,0.388888889,28,52,crown
58,18,13,0,5,9,9,0.5,0.722222222,39,51,crown
59,31,19,0,12,18,13,0.580645161,0.612903226,27,52,surface
60,20,10,0,10,12,8,0.6,0.5,46,52,sev.surf
61,8,2,0,6,6,2,0.75,0.25,3,52,surface
62,26,7,0,19,23,3,0.884615385,0.269230769,96,52,sev.surf
63,15,5,0,10,11,4,0.733333333,0.333333333,17,51,crown
