plot_no,plot_id,fire_severity,UTM_E,UTM_N,fire_name,fire_id,fire_year,UTM_zone
79,TL0808U1,unburned,693386,5906834,tweedsmuir,R10252,2013,9
80,TL0808U2,unburned,694504,5905390,tweedsmuir,R10252,2013,9
81,TL0809U1,unburned,694149,5905404,tweedsmuir,R10252,2013,9
82,TL0812U1,unburned,693805,5906992,tweedsmuir,R10252,2013,9
83,TL0812U2,unburned,694169,5905712,tweedsmuir,R10252,2013,9
58,TL0810H1,High,690964,5906302,tweedsmuir,R10252,2013,9
59,TL0810L1,Low,691033,5906111,tweedsmuir,R10252,2013,9
60,TL0810M1,Moderate,691200,5906288,tweedsmuir,R10252,2013,9
53,TL0807M1,Moderate,692665,5907055,tweedsmuir,R10252,2013,9
52,TL0807M2,Moderate,692861,5907193,tweedsmuir,R10252,2013,9
54,TL0808L1,Low,693377,5906833,tweedsmuir,R10252,2013,9
55,TL0809L1,Low,693472,5906910,tweedsmuir,R10252,2013,9
56,TL0809H1,High,693076,5906911,tweedsmuir,R10252,2013,9
57,TL0809H2,High,692392,5906843,tweedsmuir,R10252,2013,9
61,TL0811L1,Low,693759,5907023,tweedsmuir,R10252,2013,9
62,TL0811M1,Moderate,693552,5907108,tweedsmuir,R10252,2013,9
63,TL0811H1,High,693582,5907372,tweedsmuir,R10252,2013,9
64,CEC0630U1,unburned,334874,5906082,chelaslie,R10070,2014,10
65,CEC0630U2,unburned,334737,5905926,chelaslie,R10070,2014,10
66,CEC0703U1,unburned,333951,5906014,chelaslie,R10070,2014,10
67,CEC0708U1,unburned,334631,5906081,chelaslie,R10070,2014,10
68,CEC0780U2,unburned,334706,5906325,chelaslie,R10070,2014,10
69,CEC0708U3,unburned,334906,5906492,chelaslie,R10070,2014,10
72,BA0728U1,unburned,319632,5910044,chelaslie,R10070,2014,10
73,BA0729U1,unburned,319923,5910870,chelaslie,R10070,2014,10
74,BA0729U2,unburned,320090,5910838,chelaslie,R10070,2014,10
75,BA0731U1,unburned,319096,5910764,chelaslie,R10070,2014,10
76,BA0801U1,unburned,318562,5910890,chelaslie,R10070,2014,10
77,BA0801U2,unburned,318666,5910735,chelaslie,R10070,2014,10
78,BA0803U1,unburned,319439,5909926,chelaslie,R10070,2014,10
70,EF0711U1,unburned,329747,5898349,entiako,R10171,2012,10
71,EF0711U2,unburned,329903,5898292,entiako,R10171,2012,10
