plot.no,date,plot.id,sapling.id,all.whorls,leader,whorl.leader,false.whorls,survey.year,est.year,est.f.year,DBH,disturbance
64,6/30/2016,CEC0630U1,se1,16,1,17,,2016,1999,1999,5.5,beetle.only
64,6/30/2016,CEC0630U1,se2,34,1,35,,2016,1981,1981,7.5,beetle.only
64,6/30/2016,CEC0630U1,ne1,29,1,30,,2016,1986,1986,7.5,beetle.only
64,6/30/2016,CEC0630U1,ne2,28,1,29,,2016,1987,1987,4.5,beetle.only
64,6/30/2016,CEC0630U1,ne3,16,1,17,,2016,1999,1999,3,beetle.only
64,6/30/2016,CEC0630U1,ne4,12,1,13,,2016,2003,2003,1,beetle.only
64,6/30/2016,CEC0630U1,nw1,16,1,17,,2016,1999,1999,2,beetle.only
64,6/30/2016,CEC0630U1,nw2,26,1,27,,2016,1989,1989,6,beetle.only
64,6/30/2016,CEC0630U1,nw3,36,1,37,,2016,1979,1979,9,beetle.only
64,6/30/2016,CEC0630U1,sw1,34,1,35,,2016,1981,1981,8.5,beetle.only
65,6/30/2016,CEC0630U2,sw1,17,1,18,,2016,1998,1998,2,beetle.only
65,6/30/2016,CEC0630U2,se1,20,1,21,,2016,1995,1995,2,beetle.only
65,6/30/2016,CEC0630U2,se2,22,1,23,,2016,1993,1993,2,beetle.only
65,6/30/2016,CEC0630U2,se3,25,1,26,,2016,1990,1990,3.5,beetle.only
65,6/30/2016,CEC0630U2,nw1,16,1,17,,2016,1999,1999,3,beetle.only
65,6/30/2016,CEC0630U2,nw2,27,1,28,,2016,1988,1988,5,beetle.only
65,6/30/2016,CEC0630U2,nw3,22,1,23,,2016,1993,1993,4,beetle.only
66,7/3/2016,CEC0703U1,sw1,7,1,8,,2016,2008,2008,0.5,beetle.only
66,7/3/2016,CEC0703U1,sw2,3,1,4,,2016,2012,2012,0.5,beetle.only
66,7/3/2016,CEC0703U1,sw3,10,1,11,,2016,2005,2005,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw1,21,1,22,,2016,1994,1994,2,beetle.only
66,7/3/2016,CEC0703U1,nw2,5,1,6,,2016,2010,2010,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw3,7,1,8,,2016,2008,2008,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw4,10,1,11,,2016,2005,2005,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw5,15,1,16,,2016,2000,2000,2,beetle.only
66,7/3/2016,CEC0703U1,nw6,14,1,15,,2016,2001,2001,2,beetle.only
66,7/3/2016,CEC0703U1,nw7,17,1,18,,2016,1998,1998,2,beetle.only
66,7/3/2016,CEC0703U1,nw8,16,1,17,,2016,1999,1999,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw9,25,1,26,,2016,1990,1990,2,beetle.only
66,7/3/2016,CEC0703U1,nw10,17,1,18,,2016,1998,1998,1,beetle.only
66,7/3/2016,CEC0703U1,nw11,30,1,31,,2016,1985,1985,2,beetle.only
66,7/3/2016,CEC0703U1,nw12,16,1,17,,2016,1999,1999,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw13,16,1,17,,2016,1999,1999,1,beetle.only
66,7/3/2016,CEC0703U1,nw14,7,1,8,,2016,2008,2008,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw15,11,1,12,,2016,2004,2004,1,beetle.only
66,7/3/2016,CEC0703U1,nw16,4,1,5,,2016,2011,2011,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw17,20,1,21,,2016,1995,1995,1,beetle.only
66,7/3/2016,CEC0703U1,nw18,16,1,17,,2016,1999,1999,1,beetle.only
66,7/3/2016,CEC0703U1,nw19,8,1,9,,2016,2007,2007,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw20,3,1,4,,2016,2012,2012,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw21,2,1,3,,2016,2013,2013,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw22,9,1,10,,2016,2006,2006,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw23,10,1,11,,2016,2005,2005,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw24,9,1,10,,2016,2006,2006,0.5,beetle.only
66,7/3/2016,CEC0703U1,nw25,16,1,17,,2016,1999,1999,1,beetle.only
66,7/3/2016,CEC0703U1,ne1,10,1,11,,2016,2005,2005,1,beetle.only
66,7/3/2016,CEC0703U1,ne2,6,1,7,,2016,2009,2009,0.5,beetle.only
66,7/3/2016,CEC0703U1,ne3,11,1,12,,2016,2004,2004,1,beetle.only
66,7/3/2016,CEC0703U1,se1,25,1,26,,2016,1990,1990,1.5,beetle.only
66,7/3/2016,CEC0703U1,se2,6,1,7,,2016,2009,2009,0.5,beetle.only
66,7/3/2016,CEC0703U1,se3,7,1,8,,2016,2008,2008,0.5,beetle.only
66,7/3/2016,CEC0703U1,se4,10,1,11,,2016,2005,2005,1,beetle.only
