plot.mpb,plot,date,plot_id,tree.id,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,canopy,cones,seed.source,cone.ct,snag.cwd,fwi,burncon
LM1,1,6/29/2016,CEC0629M1,NW1,D,N,N,7,5,100,1,FIRE,FIRE,full,yes,open,yes,7,snag,25.9,moderate
LM1,1,6/29/2016,CEC0629M1,NW2,D,N,N,7,5,90,1,FIRE,FIRE,full,yes,open,yes,5,snag,25.9,moderate
LM1,1,6/29/2016,CEC0629M1,NW3,D,O,N,13,3.5,40,1,FIRE,FIRE,full,yes,open,yes,25,snag,25.9,moderate
LM1,1,6/29/2016,CEC0629M1,NW4,D,N,N,9,4.5,45,1,FIRE,FIRE,full,yes,open,yes,5,snag,25.9,moderate
LM1,1,6/29/2016,CEC0629M1,NW5,D,N,N,10.5,5,45,1,FIRE,FIRE,full,yes,open,yes,100,snag,25.9,moderate
LM1,1,6/29/2016,CEC0629M1,NW6,D,N,N,12,4.5,45,1,FIRE,FIRE,full,yes,open,yes,100,snag,25.9,moderate
LM1,1,6/29/2016,CEC0629M1,SW1,D,N,N,9,4.5,35,1,FIRE,FIRE,full,yes,open,yes,40,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,NE1,D,N,N,9.5,4,30,1,FIRE,FIRE,full,yes,open,yes,50,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,NW1,D,N,N,10,4,35,1,FIRE,FIRE,full,yes,open,yes,300,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,NW2,D,O,Y,15,2,15,1,FIRE,FIRE,full,yes,open,yes,300,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,NW3,D,O,Y,11,2,15,1,FIRE,FIRE,full,yes,open,yes,200,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,SE1,D,N,N,12.5,4,30,1,FIRE,FIRE,full,yes,open,yes,100,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,SE2,D,N,N,9.5,4,30,1,FIRE,FIRE,full,yes,open,yes,0,snag,25.9,moderate
LM2,2,6/30/2016,CEC0630H1,SE3,D,N,N,13,4,30,1,FIRE,FIRE,full,yes,open,yes,200,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE2,D,O,Y,11.5,0.5,5,1,FIRE,FIRE,full,yes,both,yes,400,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE4,D,O,Y,16.5,0.5,3,1,FIRE,FIRE,full,yes,both,yes,500,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE1,D,O,Y,10.5,0.1,0.5,1,FIRE,FIRE,full,yes,both,yes,100,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW4,D,O,N,7,0.5,3,1,FIRE,FIRE,full,yes,both,yes,50,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW6,D,O,Y,10,0.5,2,1,FIRE,FIRE,full,yes,both,yes,100,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW8,D,O,N,9,0.5,4,2,OPF,BOM,partial,yes,both,yes,50,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW10,D,O,Y,12,0.5,2,1,FIRE,FIRE,full,yes,closed,no,30,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE12,D,O,Y,8.5,0.1,0.5,1,FIRE,FIRE,full,yes,closed,no,100,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE2,D,N,N,8.5,0.1,0.5,1,FIRE,FIRE,full,yes,closed,no,5,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE3,D,N,N,10.5,0.5,1,1,FIRE,FIRE,full,yes,closed,no,30,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE4,D,O,Y,11.5,0.1,0.5,1,FIRE,FIRE,full,yes,closed,no,50,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE6,D,O,Y,10,0.1,0.5,1,FIRE,FIRE,full,yes,closed,no,30,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW3,D,O,Y,12,0.5,1,1,FIRE,FIRE,full,yes,closed,no,200,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW7,D,O,Y,10.5,2,20,1,FIRE,FIRE,full,yes,closed,no,50,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE11,L,live,live,9.5,0.5,3,1,live,live,full,yes,closed,no,50,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW10,L,live,live,11,0.5,2,1,live,live,full,yes,closed,no,200,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW5,L,live,live,14,0.5,2,1,live,live,full,yes,closed,no,200,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE3,D,O,Y,11.5,1,10,2,UNK,UPF,partial,yes,closed,no,10,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW12,D,Y,Y,18,0.5,2,2,MPB,BOM,partial,yes,closed,no,150,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW4,D,N,N,8.5,0.5,1,1,FIRE,FIRE,partial,yes,closed,no,20,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE5,D,Y,Y,11.5,1,3,2,MPB,BOM,partial,yes,closed,no,400,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE9,D,Y,Y,17,1,5,2,MPB,BOM,partial,yes,closed,no,400,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW1,D,Y,Y ,13.5,1,5,2,MPB,BOM,partial,yes,closed,no,200,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW1,D,O,Y,8.5,0.5,5,2,OPF,BOM,none,no,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW11,D,O,N,10,0.5,5,2,OPF,BOM,none,no,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW11,D,O,N,9,0.5,3,2,OPF,BOM,none,no,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW9,D,O,N,8,0.5,3,2,OPF,BOM,none,no,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE1,D,Y,Y,12.5,1,10,2,MPB,BOM,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE5,D,Y,Y,17.5,1,5,2,MPB,BOM,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE6,D,N,N,7,0.5,3,2,OPF,BOM,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW9,D,N,N,8,0.5,5,2,OPF,BOM,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE10,D,N,N,9,0.1,0.5,1,OPF,BOM,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE7,D,O,Y,11.5,0.5,3,2,OPF,BOM,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SE8,D,O,Y,10,0.5,3,1,FIRE,FIRE,partial,yes,none,no,0,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE8,D,O,Y,10,0.5,1,1,FIRE,FIRE,full,yes,open,yes,30,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW2,D,O,Y,10,0.5,5,1,FIRE,FIRE,full,yes,open,yes,10,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW7,D,O,Y,15,0.5,3,1,FIRE,FIRE,full,yes,open,yes,100,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW2,D,O,Y,7,0.5,2,1,FIRE,FIRE,full,yes,open,yes,15,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NE7,D,O,Y,13,1,5,2,OPF,BOM,partial,yes,open,yes,10,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW5,D,O,Y,11,0.1,0.5,1,FIRE,FIRE,partial,yes,open,yes,150,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,NW6,D,N,N,11,0.5,5,1,FIRE,FIRE,partial,yes,open,yes,20,snag,25.9,moderate
LL3,3,7/1/2016,CEC0701L1,SW8,D,Y,Y,12.5,1,7,1,MPB,BOM,partial,yes,open,yes,5,snag,25.9,moderate
HM4,4,7/2/2016,CEC0702M1,NE1,D,N,NB,13,2.5,10,2,OPF,BOM,partial,yes,both,yes,150,snag,27.4,moderate
HM4,4,7/2/2016,CEC0702M1,SE2,D,Y,Y,13.5,0.1,1,2,MPB,BOM,partial,yes,both,yes,200,snag,27.4,moderate
