plot,plot.mpb,stems,bom,fire,live,upf,no.canopy,yes.canopy,no.seed,yes.seed,tot.stem,cone.ct,seed.density,disturbance,fire.type,burncon
7,HH7,6,6,0,0,0,6,0,6,0,6,0,100,beetle+fire,crown,moderate
18,HL18,14,13,0,1,0,1,13,12,2,14,1337,121,beetle+fire,surface,moderate
24,HL24,12,10,2,0,0,0,12,5,7,12,2623,33,beetle+fire,surface,extreme
44,HL44,18,17,0,1,0,6,12,12,6,18,1672,21,beetle+fire,surface,extreme
46,HL46,9,9,0,0,0,1,8,6,3,9,1396,48,beetle+fire,surface,extreme
54,HL54,13,12,0,0,1,4,9,10,3,13,286,10,beetle+fire,surface,moderate
15,HM15,3,3,0,0,0,3,0,3,0,3,0,62,beetle+fire,sev.surf,moderate
35,HM35,4,4,0,0,0,0,4,2,2,4,257,38,beetle+fire,sev.surf,moderate
4,HM4,12,12,0,0,0,0,12,6,6,12,1286,150,beetle+fire,sev.surf,moderate
45,HM45,10,10,0,0,0,4,6,7,3,10,24,99,beetle+fire,sev.surf,extreme
51,HM51,15,15,0,0,0,11,4,14,1,15,21,28,beetle+fire,sev.surf,extreme
9,LH09,14,14,0,0,0,14,0,14,0,14,0,150,beetle+fire,crown,moderate
10,LH10,11,0,2,0,9,9,2,9,2,11,170,125,beetle+fire,crown,moderate
11,LH11,6,6,0,0,0,6,0,6,0,6,0,75,beetle+fire,crown,moderate
21,LH21,8,0,4,0,4,7,1,7,1,8,200,311,beetle+fire,crown,extreme
22,LH22,13,2,2,1,8,8,5,11,2,13,1045,182,beetle+fire,crown,extreme
25,LH25,4,0,1,0,3,3,1,3,1,4,5,154,beetle+fire,crown,moderate
33,LH33,12,0,5,0,7,5,7,5,7,12,1205,18,beetle+fire,crown,moderate
34,LH34,12,0,1,0,11,11,1,11,1,12,125,1077,beetle+fire,crown,extreme
36,LH36,31,3,28,0,0,2,29,3,28,31,2447,14,beetle+fire,crown,moderate
5,LH5,24,0,9,0,15,15,9,15,9,24,1585,375,beetle+fire,crown,moderate
56,LH56,11,7,4,0,0,6,5,7,4,11,59,44,beetle+fire,crown,moderate
57,LH57,18,10,8,0,0,10,8,10,7,18,610,64,beetle+fire,crown,moderate
