plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,killed.by,mortality,cones.op.cl,cones,seed.source,canopy.str.field,canopy.str,canopy,cone.ct,fire
HU64,64,6/30/2016,CEC0630U1,ne1,pico,D,Y,Y,38,MPB,BOM,closed,closed,no,1.5,full,yes,200,unburned
HU64,64,6/30/2016,CEC0630U1,ne2,pico,D,Y,Y,29.5,MPB,BOM,closed/partial,both,yes,1.5,full,yes,300,unburned
LU66,66,7/3/2016,CEC0703U1,NE10,pico,D,O,Y,10,OPF,BOM,BOTH,both,yes,1,full,yes,10,unburned
LU66,66,7/3/2016,CEC0703U1,NE2,pico,L,L ,L ,10,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,50,unburned
LU66,66,7/3/2016,CEC0703U1,NE3,pico,L,L,L ,11,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,50,unburned
LU66,66,7/3/2016,CEC0703U1,NE9,pico,L,L,L,12,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,75,unburned
LU66,66,7/3/2016,CEC0703U1,NW1,pico,L,live,live,13,LIVE,LIVE,CLOSED,closed,no,live,full,yes,100,unburned
LU66,66,7/3/2016,CEC0703U1,NW2,pico,L,live,live,10,LIVE,LIVE,CLOSED,closed,no,live,full,yes,30,unburned
LU66,66,7/3/2016,CEC0703U1,NW5,pico,L,live,live,7.5,LIVE,LIVE,CLOSED,closed,no,live & 5,full,yes,5,unburned
LU66,66,7/3/2016,CEC0703U1,NW6,pico,L,live,live,11.5,LIVE,LIVE,CLOSED,closed,no,live,full,yes,60,unburned
LU66,66,7/3/2016,CEC0703U1,SE2,pico,L,L,L ,12.5,LIVE,LIVE,CLOSED,closed,no,1+NEEDLES,full,yes,70,unburned
LU66,66,7/3/2016,CEC0703U1,SE4,pico,D,Y,Y,12,MPB,BOM,CLOSED,closed,no,1,full,yes,90,unburned
LU66,66,7/3/2016,CEC0703U1,SE6,pico,L,L,L,9.5,LIVE,LIVE,UNK,unknown,no,1+NEEDLES,full,yes,5,unburned
LU66,66,7/3/2016,CEC0703U1,SE7,pico,D,Y,Y,13,MPB,BOM,CLOSED,closed,no,1+NEEDLES,full,yes,30,unburned
LU66,66,7/3/2016,CEC0703U1,SW2,pico,L,live,live,11,LIVE,LIVE,CLOSED,closed,no,live,full,yes,300,unburned
LU66,66,7/3/2016,CEC0703U1,SW3,pico,L,live,live,9,LIVE,LIVE,NONE,none,no,live,full,yes,0,unburned
