plot,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
1,site1 ,region1 ,53.262365,-125.48661,937,2.3,13.3,-10,23.2,540,205,22.8,64.6,1080,939,5715,13,138,171,249,78,242,-42,32.3,522,267,11.1,58
2,site2,region2,53.275226,-125.478668,1039,2,12.8,-9.8,22.6,548,209,21.9,61.2,1104,870,5831,10,133,174,247,73,252,-42.4,31.8,511,253,11.4,58
3,site3,region3,53.27626,-125.477829,1043,2,12.8,-9.8,22.6,548,210,21.8,61,1106,867,5836,10,133,174,247,73,253,-42.4,31.8,511,252,11.4,58
4,site4,region4,53.272855,-125.485023,1025,2,12.9,-9.9,22.7,549,209,21.9,61.5,1100,879,5813,11,134,174,248,74,251,-42.3,31.9,513,254,11.3,58
5,site5,region5,53.270417,-125.481224,989,2.1,13,-9.9,22.9,544,208,22.3,62.8,1090,904,5767,12,136,173,248,75,247,-42.2,32,517,260,11.2,58
6,site6,region6,53.277453,-125.490921,1028,2,12.9,-9.9,22.7,554,210,21.7,61.1,1101,878,5817,11,134,174,248,74,254,-42.3,31.8,512,252,11.3,58
7,site7,region7,53.267327,-125.481514,960,2.2,13.2,-9.9,23.1,542,207,22.6,63.7,1082,924,5734,12,137,172,249,77,243,-42.2,32.2,520,264,11.1,58
8,site8,region8,53.265583,-125.483192,949,2.3,13.2,-9.9,23.1,541,206,22.7,64,1080,931,5724,13,138,172,249,77,243,-42.1,32.2,521,265,11,58
9,site9,region9,53.268334,-125.472435,985,2.2,13.1,-9.9,22.9,542,208,22.4,63,1089,907,5762,12,136,173,248,76,245,-42.2,32.1,517,261,11.1,58
10,site10,region10,53.270373,-125.47467,997,2.1,13,-9.9,22.9,543,208,22.3,62.6,1091,899,5774,11,135,173,248,75,247,-42.3,32,516,259,11.2,58
11,site11,region11,53.267263,-125.477249,968,2.2,13.1,-9.9,23,542,207,22.5,63.4,1083,919,5742,12,137,172,249,77,244,-42.2,32.1,519,263,11.1,58
12,site12,region12,53.268717,-125.487709,975,2.2,13.1,-9.9,23,545,208,22.4,63.1,1086,914,5750,12,137,172,249,76,246,-42.2,32.1,518,261,11.2,58
13,site13,region13,53.270418,-125.488953,999,2.1,13,-9.9,22.9,548,209,22.1,62.3,1092,898,5782,11,135,173,248,75,249,-42.3,32,515,257,11.2,58
14,site14,region14,53.27383,-125.479233,1025,2,12.9,-9.8,22.7,546,209,22,61.7,1099,879,5813,11,134,174,247,74,250,-42.3,31.9,513,255,11.3,58
15,site15,region15,53.277427,-125.480522,949,2.3,13.2,-9.9,23.1,541,206,22.7,64.2,1080,929,5726,12,137,172,248,76,243,-42.2,32.3,522,267,11.1,58
16,site16,region16,53.271705,-125.486732,947,2.3,13.2,-9.9,23.2,542,206,22.6,64.1,1081,932,5724,13,138,172,249,77,243,-42.1,32.3,521,266,11.1,58
