plot,aspect,slope
1,0,5
2,155,0
3,165,2
4,168,5
5,227,0
6,264,5
7,234,20
8,188,2
9,146,2
10,205,1
11,169,2
12,168,2
13,284,10
14,95,0
15,132,10
16,210,2
17,198,2
18,204,0
19,184,2
20,305,0
21,15,0
22,250,3
23,305,1
24,290,1
25,195,0
26,220,0
27,73,0
28,270,0
29,12,10
30,340,0
31,289,0
32,0,1
33,26,1
34,322,1
35,43,0
36,0,5
37,63,0
38,218,6
39,340,0
40,0,0
41,191,5
42,270,3
43,315,0
44,272,0
45,348,0
46,4,0
47,45,0
48,55,0
49,90,0.5
50,82,2
51,90,0
52,183,1.5
53,195,0
54,290,10
55,110,10
56,145,0
57,155,5
58,180,8
59,125,4
60,115,8
61,83,0
62,65,1
63,140,0
