plot,MPB,fire.severity,utm_zone,UTM_E,UTM_N,Elevation,fire.event,fire.year,lat,long
1,low,moderate,10,334151,5904342,937,chelaslie,2014,53.262365,-125.48661
2,low,moderate,10,334730,5905754,1039,chelaslie,2014,53.275226,-125.478668
3,low,low,10,334790,5905867,1043,chelaslie,2014,53.27626,-125.477829
4,high,moderate,10,334297,5905505,1025,chelaslie,2014,53.272855,-125.485023
5,low,high,10,334541,5905225,989,chelaslie,2014,53.270417,-125.481224
6,low,low,10,333922,5906030,1028,chelaslie,2014,53.277453,-125.490921
7,high,high,10,334510,5904882,960,chelaslie,2014,53.267327,-125.481514
8,moderate,high,10,334391,5904692,949,chelaslie,2014,53.265583,-125.483192
9,low,high,10,335119,5904973,985,chelaslie,2014,53.268334,-125.472435
10,low,high,10,334978,5905205,997,chelaslie,2014,53.270373,-125.47467
11,low,high,10,334794,5904865,968,chelaslie,2014,53.267263,-125.477249
12,low,low,10,334102,5905051,975,chelaslie,2014,53.268717,-125.487709
13,moderate,low,10,334026,5905243,999,chelaslie,2014,53.270418,-125.488953
14,moderate,low,10,334687,5905600,1025,chelaslie,2014,53.27383,-125.479233
15,high,moderate,10,331883,5899958,949,entiako,2012,53.277427,-125.480522
16,moderate,high,10,332162,5900377,947,entiako,2012,53.271705,-125.486732
17,moderate,moderate,10,332007,5900240,944,entiako,2012,53.31577,-125.691345
18,high,low,10,334615,5906003,1040,chelaslie,2014,53.316372,-125.69416
19,moderate,moderate,10,334179,5905381,1005,chelaslie,2014,53.317259,-125.701469
20,moderate,moderate,10,331125,5899028,947,entiako,2012,53.318495,-125.695694
21,low,high,10,330916,5898980,952,entiako,2012,53.31966,-125.69709
22,low,high,10,331350,5898916,966,entiako,2012,53.316107,-125.696732
23,moderate,low,10,329904,5898561,970,entiako,2012,53.319709,-125.694122
24,high,low,10,329687,5898507,968,entiako,2012,53.318221,-125.685524
25,low,high,10,332071,5900084,949,entiako,2012,53.317176,-125.686028
26,moderate,high,10,329290,5898387,956,entiako,2012,53.317858,-125.690086
27,moderate,moderate,10,329577,5898292,980,entiako,2012,53.320018,-125.704681
