"plot","MPB","fire.severity","utm_zone","UTM_E","UTM_N","Elevation","fire.event","fire.year","lat","long","sum_PPT","avg_PPT","sum_NFFD","avg_NFFD","sum_PAS","avg_PAS","sum_CMD","avg_CMD"
15,"high","moderate",10,331883,5899958,949,"entiako",2012,53.277427,-125.480522,434,36.1666666666667,145,12.0833333333333,183,15.25,340,28.3333333333333
16,"moderate","high",10,332162,5900377,947,"entiako",2012,53.271705,-125.486732,435,36.25,146,12.1666666666667,183,15.25,337,28.0833333333333
17,"moderate","moderate",10,332007,5900240,944,"entiako",2012,53.31577,-125.691345,425,35.4166666666667,148,12.3333333333333,182,15.1666666666667,332,27.6666666666667
20,"moderate","moderate",10,331125,5899028,947,"entiako",2012,53.318495,-125.695694,425,35.4166666666667,148,12.3333333333333,182,15.1666666666667,332,27.6666666666667
21,"low","high",10,330916,5898980,952,"entiako",2012,53.31966,-125.69709,425,35.4166666666667,148,12.3333333333333,182,15.1666666666667,332,27.6666666666667
22,"low","high",10,331350,5898916,966,"entiako",2012,53.316107,-125.696732,426,35.5,147,12.25,182,15.1666666666667,331,27.5833333333333
23,"moderate","low",10,329904,5898561,970,"entiako",2012,53.319709,-125.694122,425,35.4166666666667,147,12.25,182,15.1666666666667,332,27.6666666666667
24,"high","low",10,329687,5898507,968,"entiako",2012,53.318221,-125.685524,425,35.4166666666667,147,12.25,183,15.25,330,27.5
25,"low","high",10,332071,5900084,949,"entiako",2012,53.317176,-125.686028,425,35.4166666666667,148,12.3333333333333,181,15.0833333333333,332,27.6666666666667
26,"moderate","high",10,329290,5898387,956,"entiako",2012,53.317858,-125.690086,425,35.4166666666667,148,12.3333333333333,182,15.1666666666667,332,27.6666666666667
27,"moderate","moderate",10,329577,5898292,980,"entiako",2012,53.320018,-125.704681,426,35.5,146,12.1666666666667,182,15.1666666666667,331,27.5833333333333
28,"moderate","low",10,330028,5898390,985,"entiako",2012,53.322029,-125.714737,430,35.8333333333333,146,12.1666666666667,186,15.5,328,27.3333333333333
70,"","unburned",10,329747,5898349,978,"entiako",2012,53.276069,-126.098213,455,37.9166666666667,147,12.25,207,17.25,330,27.5
71,"","unburned",10,329903,5898292,987,"entiako",2012,53.276222,-126.104141,462,38.5,147,12.25,211,17.5833333333333,327,27.25
52,"moderate","moderate",9,692861,5907193,966,"tweedsmuir",2013,53.307702,-125.710098,438,36.5,146,12.1666666666667,194,16.1666666666667,325,27.0833333333333
53,"LOW","moderate",9,692665,5907055,954,"tweedsmuir",2013,53.222282,-125.518265,423,35.25,140,11.6666666666667,195,16.25,347,28.9166666666667
54,"high","low",9,693377,5906833,950,"tweedsmuir",2013,53.226133,-125.514305,421,35.0833333333333,140,11.6666666666667,195,16.25,347,28.9166666666667
55,"low","low",9,693472,5906910,942,"tweedsmuir",2013,53.224853,-125.516556,421,35.0833333333333,141,11.75,195,16.25,348,29
56,"low","high",9,693076,5906911,947,"tweedsmuir",2013,53.21369,-125.529114,424,35.3333333333333,140,11.6666666666667,197,16.4166666666667,348,29
57,"low","high",9,692392,5906843,954,"tweedsmuir",2013,53.213192,-125.532211,425,35.4166666666667,139,11.5833333333333,197,16.4166666666667,347,28.9166666666667
58,"low","high",9,690964,5906302,964,"tweedsmuir",2013,53.212755,-125.525688,425,35.4166666666667,139,11.5833333333333,197,16.4166666666667,347,28.9166666666667
59,"moderate","low",9,691033,5906111,954,"tweedsmuir",2013,53.209107,-125.547127,428,35.6666666666667,140,11.6666666666667,197,16.4166666666667,346,28.8333333333333
60,"low","moderate",9,691200,5906288,962,"tweedsmuir",2013,53.208552,-125.550346,428,35.6666666666667,139,11.5833333333333,197,16.4166666666667,345,28.75
61,"LOW","low",9,693759,5907023,928,"tweedsmuir",2013,53.223473,-125.515518,421,35.0833333333333,143,11.9166666666667,193,16.0833333333333,350,29.1666666666667
62,"LOW","moderate",9,693552,5907108,939,"tweedsmuir",2013,53.207347,-125.556221,427,35.5833333333333,142,11.8333333333333,195,16.25,347,28.9166666666667
63,"LOW","high",9,693582,5907372,970,"tweedsmuir",2013,53.206586,-125.55188,427,35.5833333333333,139,11.5833333333333,197,16.4166666666667,345,28.75
79,"","unburned",9,693386,5906834,951,"tweedsmuir",2013,53.275418,-126.099548,453,37.75,146,12.1666666666667,214,17.8333333333333,331,27.5833333333333
80,"","unburned",9,694504,5905390,893,"tweedsmuir",2013,53.262046,-126.083687,429,35.75,147,12.25,196,16.3333333333333,345,28.75
81,"","unburned",9,694149,5905404,912,"tweedsmuir",2013,53.262302,-126.088997,429,35.75,147,12.25,198,16.5,341,28.4166666666667
82,"","unburned",9,693805,5906992,930,"tweedsmuir",2013,53.276684,-126.093178,444,37,146,12.1666666666667,209,17.4166666666667,336,28
83,"","unburned",9,694169,5905712,915,"tweedsmuir",2013,53.26506,-126.088509,429,35.75,147,12.25,199,16.5833333333333,341,28.4166666666667
1,"low","moderate",10,334151,5904342,937,"chelaslie",2014,53.262365,-125.48661,476,39.6666666666667,156,13,184,15.3333333333333,379,31.5833333333333
2,"low","moderate",10,334730,5905754,1039,"chelaslie",2014,53.275226,-125.478668,482,40.1666666666667,151,12.5833333333333,192,16,365,30.4166666666667
3,"low","low",10,334790,5905867,1043,"chelaslie",2014,53.27626,-125.477829,482,40.1666666666667,150,12.5,194,16.1666666666667,365,30.4166666666667
4,"high","moderate",10,334297,5905505,1025,"chelaslie",2014,53.272855,-125.485023,484,40.3333333333333,151,12.5833333333333,190,15.8333333333333,366,30.5
5,"low","high",10,334541,5905225,989,"chelaslie",2014,53.270417,-125.481224,479,39.9166666666667,153,12.75,187,15.5833333333333,373,31.0833333333333
6,"low","low",10,333922,5906030,1028,"chelaslie",2014,53.277453,-125.490921,487,40.5833333333333,151,12.5833333333333,194,16.1666666666667,364,30.3333333333333
7,"high","high",10,334510,5904882,960,"chelaslie",2014,53.267327,-125.481514,477,39.75,155,12.9166666666667,184,15.3333333333333,376,31.3333333333333
8,"moderate","high",10,334391,5904692,949,"chelaslie",2014,53.265583,-125.483192,477,39.75,155,12.9166666666667,184,15.3333333333333,377,31.4166666666667
9,"low","high",10,335119,5904973,985,"chelaslie",2014,53.268334,-125.472435,476,39.6666666666667,154,12.8333333333333,186,15.5,374,31.1666666666667
10,"low","high",10,334978,5905205,997,"chelaslie",2014,53.270373,-125.47467,477,39.75,152,12.6666666666667,186,15.5,372,31
11,"low","high",10,334794,5904865,968,"chelaslie",2014,53.267263,-125.477249,477,39.75,155,12.9166666666667,184,15.3333333333333,375,31.25
12,"low","low",10,334102,5905051,975,"chelaslie",2014,53.268717,-125.487709,479,39.9166666666667,155,12.9166666666667,186,15.5,374,31.1666666666667
13,"moderate","low",10,334026,5905243,999,"chelaslie",2014,53.270418,-125.488953,482,40.1666666666667,153,12.75,188,15.6666666666667,370,30.8333333333333
14,"moderate","low",10,334687,5905600,1025,"chelaslie",2014,53.27383,-125.479233,481,40.0833333333333,151,12.5833333333333,190,15.8333333333333,369,30.75
18,"high","low",10,334615,5906003,1040,"chelaslie",2014,53.316372,-125.69416,494,41.1666666666667,156,13,190,15.8333333333333,345,28.75
19,"moderate","moderate",10,334179,5905381,1005,"chelaslie",2014,53.317259,-125.701469,491,40.9166666666667,159,13.25,188,15.6666666666667,349,29.0833333333333
29,"low","moderate",10,320722,5910776,914,"chelaslie",2014,53.319846,-125.713455,494,41.1666666666667,160,13.3333333333333,186,15.5,356,29.6666666666667
30,"moderate","moderate",10,320537,5910850,908,"chelaslie",2014,53.31106,-125.710342,493,41.0833333333333,160,13.3333333333333,186,15.5,359,29.9166666666667
31,"low","moderate",10,320054,5910967,912,"chelaslie",2014,53.316412,-125.703506,491,40.9166666666667,160,13.3333333333333,186,15.5,357,29.75
32,"low","low",10,320444,5911090,893,"chelaslie",2014,53.316837,-125.701027,490,40.8333333333333,161,13.4166666666667,185,15.4166666666667,361,30.0833333333333
33,"low","high",10,320356,5911223,885,"chelaslie",2014,53.318506,-125.6996,490,40.8333333333333,161,13.4166666666667,185,15.4166666666667,361,30.0833333333333
34,"low","high",10,320365,5910827,905,"chelaslie",2014,53.320554,-125.701683,490,40.8333333333333,160,13.3333333333333,185,15.4166666666667,359,29.9166666666667
35,"high","moderate",10,320554,5911221,888,"chelaslie",2014,53.318011,-125.703995,490,40.8333333333333,161,13.4166666666667,185,15.4166666666667,361,30.0833333333333
36,"low","high",10,321120,5911034,873,"chelaslie",2014,53.315388,-125.712555,492,41,161,13.4166666666667,186,15.5,362,30.1666666666667
37,"moderate","low",10,321082,5910919,884,"chelaslie",2014,53.313997,-125.712463,492,41,161,13.4166666666667,187,15.5833333333333,361,30.0833333333333
38,"moderate","high",10,320815,5911005,885,"chelaslie",2014,53.314502,-125.717499,493,41.0833333333333,161,13.4166666666667,187,15.5833333333333,361,30.0833333333333
39,"low","low",10,319852,5911282,892,"chelaslie",2014,53.311786,-125.716743,494,41.1666666666667,161,13.4166666666667,188,15.6666666666667,360,30
40,"moderate","high",10,319191,5911531,889,"chelaslie",2014,53.278217,-125.476685,470,39.1666666666667,158,13.1666666666667,178,14.8333333333333,389,32.4166666666667
41,"moderate","high",10,319267,5911285,905,"chelaslie",2014,53.276773,-125.478653,472,39.3333333333333,157,13.0833333333333,179,14.9166666666667,385,32.0833333333333
42,"low","low",10,319437,5910300,914,"chelaslie",2014,53.277318,-125.490479,479,39.9166666666667,156,13,182,15.1666666666667,381,31.75
43,"moderate","moderate",10,319915,5910878,905,"chelaslie",2014,53.278132,-125.480324,473,39.4166666666667,157,13.0833333333333,180,15,384,32
44,"high","low",10,320082,5910919,907,"chelaslie",2014,53.280347,-125.479324,473,39.4166666666667,157,13.0833333333333,180,15,384,32
45,"high","moderate",10,320184,5911101,894,"chelaslie",2014,53.281909,-125.476418,470,39.1666666666667,157,13.0833333333333,178,14.8333333333333,386,32.1666666666667
46,"high","low",10,320054,5911334,900,"chelaslie",2014,53.308827,-125.707275,493,41.0833333333333,160,13.3333333333333,186,15.5,359,29.9166666666667
47,"low","low",10,319889,5911057,881,"chelaslie",2014,53.316343,-125.703384,490,40.8333333333333,161,13.4166666666667,185,15.4166666666667,361,30.0833333333333
48,"moderate","moderate",10,319308,5910787,887,"chelaslie",2014,53.316112,-125.700859,490,40.8333333333333,161,13.4166666666667,185,15.4166666666667,361,30.0833333333333
49,"moderate","low",10,319308,5910632,901,"chelaslie",2014,53.315109,-125.715721,493,41.0833333333333,161,13.4166666666667,187,15.5833333333333,358,29.8333333333333
50,"low","moderate",10,318975,5910701,917,"chelaslie",2014,53.316058,-125.723801,494,41.1666666666667,160,13.3333333333333,186,15.5,356,29.6666666666667
51,"high","moderate",10,319014,5910397,900,"chelaslie",2014,53.314702,-125.722153,493,41.0833333333333,161,13.4166666666667,187,15.5833333333333,357,29.75
64,"","unburned",10,334874,5906082,1045,"chelaslie",2014,53.207611,-125.545181,485,40.4166666666667,146,12.1666666666667,193,16.0833333333333,372,31
65,"","unburned",10,334737,5905926,1050,"chelaslie",2014,53.207152,-125.549362,485,40.4166666666667,146,12.1666666666667,193,16.0833333333333,371,30.9166666666667
66,"","unburned",10,333951,5906014,1023,"chelaslie",2014,53.206691,-125.547005,484,40.3333333333333,148,12.3333333333333,193,16.0833333333333,372,31
67,"","unburned",10,334631,5906081,1044,"chelaslie",2014,53.278832,-126.107193,580,48.3333333333333,160,13.3333333333333,241,20.0833333333333,328,27.3333333333333
68,"","unburned",10,334706,5906325,1050,"chelaslie",2014,53.277665,-126.110214,582,48.5,160,13.3333333333333,242,20.1666666666667,327,27.25
69,"","unburned",10,334906,5906492,1057,"chelaslie",2014,53.275413,-126.099686,583,48.5833333333333,159,13.25,245,20.4166666666667,327,27.25
72,"","unburned",10,319632,5910044,928,"chelaslie",2014,53.275861,-126.114433,515,42.9166666666667,160,13.3333333333333,201,16.75,360,30
73,"","unburned",10,319923,5910870,914,"chelaslie",2014,53.27152,-126.136147,503,41.9166666666667,160,13.3333333333333,197,16.4166666666667,364,30.3333333333333
74,"","unburned",10,320090,5910838,916,"chelaslie",2014,53.26978,-126.135223,504,42,160,13.3333333333333,197,16.4166666666667,363,30.25
75,"","unburned",10,319096,5910764,901,"chelaslie",2014,53.271309,-126.132614,501,41.75,160,13.3333333333333,193,16.0833333333333,368,30.6666666666667
76,"","unburned",10,318562,5910890,921,"chelaslie",2014,53.276979,-126.093849,508,42.3333333333333,160,13.3333333333333,196,16.3333333333333,363,30.25
77,"","unburned",10,318666,5910735,947,"chelaslie",2014,53.277818,-126.096893,521,43.4166666666667,160,13.3333333333333,206,17.1666666666667,355,29.5833333333333
78,"","unburned",10,319439,5909926,920,"chelaslie",2014,53.280177,-126.096283,505,42.0833333333333,160,13.3333333333333,196,16.3333333333333,363,30.25
