"plot","stems","gv","ground.char","soil","litter","rock","dwood","cwd","other","deadveg","duff.depth","subplot","quadplot","fire","mpb","unk","opf","live","DC1","DC2","DC3","DC4","topo","fwi","pfm","deep.char","burn.cond","prop.mpb","prop.pfm","plot.mpb","species","tpha","bom.bom.ct","bom.fire.ct","bom.live.ct","bom.upf.ct","date","plot_code","elevation","event","aspect","dslop","x","y","utm_zone"
1,7,35,46.75,16.25,0,0,1.25,0.75,0,0,0.875,0.75,NA,7,0,0,0,0,7,0,0,0,-0.185,25.9,0,0,"moderate",0,0,"LM1","pico",700,0,7,0,0,"6/29/2016","CEC0629M1",937,"chelaslie",0,5,334151,5904342,10
2,7,42.5,46,0,0,11.5,0,0,0,0,0.675,17,NA,7,0,0,0,0,7,0,0,0,0.048,25.9,0,0,"moderate",0,0,"LM2","pico",700,0,7,0,0,"6/30/2016","CEC0630H1",1039,"chelaslie",155,0,334730,5905754,10
3,42,49.25,9.375,0,37.875,2.25,0,0,1.25,0,0.925,3.75,NA,21,3,10,7,1,26,16,0,0,-0.111,25.9,10,16,"moderate",0.071428571,0.238095238,"LL3","pico",4200,17,21,3,1,"7/1/2016","CEC0701L1",1043,"chelaslie",165,2,334790,5905867,10
4,12,50,2.5,0,47.5,0,0,0,0,0,1.366666667,1.5,NA,0,0,3,9,0,0,12,0,0,-0.111,27.4,9,12,"moderate",0,0.75,"HM4","pico",1200,12,0,0,0,"7/2/2016","CEC0702M1",1025,"chelaslie",168,5,334297,5905505,10
5,24,26.25,47,25,0,1.75,0,0,0,0,0.6,3.75,NA,9,0,15,0,0,9,0,15,0,-0.056,27.4,0,15,"moderate",0,0,"LH5","pico",2400,0,9,0,15,"7/2/2016","CEC0702H1",989,"chelaslie",227,0,334541,5905225,10
6,20,52,18,1.25,23.75,0,0,0.5,0,0,1.125,0,NA,4,0,10,6,0,6,12,2,0,0.111,19,6,14,"moderate",0,0.3,"LL6","pico",2000,16,4,0,0,"7/3/2016","CEC0703M1",1028,"chelaslie",264,5,333922,5906030,10
7,6,45,51,3.75,0.25,0,0,0,0,0,1.175,1,NA,0,0,1,5,0,0,0,6,0,0.056,27.4,5,6,"moderate",0,0.833333333,"HH7","pico",600,6,0,0,0,"7/5/2016","CEC0705H1",960,"chelaslie",234,20,334510,5904882,10
8,11,45,50,2,0,0.5,2.5,0,0,0,0.975,1.5,NA,0,0,6,5,0,0,0,11,0,-0.056,25.9,5,11,"moderate",0,0.454545455,"MH8","pico",1100,11,0,0,0,"7/5/2016","CEC0705H2",949,"chelaslie",188,2,334391,5904692,10
9,14,43.75,36.75,17.75,0,1.75,0,0,0,0,0.675,1.5,NA,0,0,12,2,0,0,0,14,0,0.067,25.9,2,14,"moderate",0,0.142857143,"LH09","pico",1400,14,0,0,0,"7/5/2016","CEC0705H3",146,"chelaslie",146,2,335119,5904973,10
10,11,21.75,4.25,69,0,5,0,0,0,0,0,1.25,NA,2,0,9,0,0,2,1,8,0,-0.083,25.9,0,9,"moderate",0,0,"LH10","pico",1100,0,2,0,9,"7/5/2016","CEC0705H4",997,"chelaslie",205,1,334978,5905205,10
