plot.mpb,plot,date,plot.id,tree.id,species,live.dead,j.gal,exit.hole,dbh,scorch.height,bole.scorch,cl.deep.char,killed.by,mortality,canopy.str,cone.op.cl,cone.ct,snag.cwd,preb.ld,preb.sd,pref.ld,pref.sd,postf.ld,postf.sd
LM1,1,6/29/2016,CEC0629M1,NW3,pico,D,O,N,13,3.5,40,1,FIRE,FIRE,full,open,25,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,NW6,pico,D,N,N,12,4.5,45,1,FIRE,FIRE,full,open,100,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,NW5,pico,D,N,N,10.5,5,45,1,FIRE,FIRE,full,open,100,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,NW4,pico,D,N,N,9,4.5,45,1,FIRE,FIRE,full,open,5,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,SW1,pico,D,N,N,9,4.5,35,1,FIRE,FIRE,full,open,40,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,NW1,pico,D,N,N,7,5,100,1,FIRE,FIRE,full,open,7,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,NW2,pico,D,N,N,7,5,90,1,FIRE,FIRE,full,open,5,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,,pigl,D,,,10,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,,pigl,D,,,10,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,,pigl,D,,,10,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LM1,1,6/29/2016,CEC0629M1,,pigl,D,,,10,,,,FIRE,FIRE,,,,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,NW2,pico,D,O,Y,15,2,15,1,FIRE,FIRE,full,open,300,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,SE3,pico,D,N,N,13,4,30,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,SE1,pico,D,N,N,12.5,4,30,1,FIRE,FIRE,full,open,100,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,NW3,pico,D,O,Y,11,2,15,1,FIRE,FIRE,full,open,200,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,NW1,pico,D,N,N,10,4,35,1,FIRE,FIRE,full,open,300,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,NE1,pico,D,N,N,9.5,4,30,1,FIRE,FIRE,full,open,50,snag,live,stand,live,stand,dead,stand
LM2,2,6/30/2016,CEC0630H1,SE2,pico,D,N,N,9.5,4,30,1,FIRE,FIRE,full,open,0,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NE4,pico,D,O,Y,16.5,0.5,3,1,FIRE,FIRE,full,both,500,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NW7,pico,D,O,Y,15,0.5,3,1,FIRE,FIRE,full,open,100,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NW10,pico,D,O,Y,12,0.5,2,1,FIRE,FIRE,full,closed,30,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SW3,pico,D,O,Y,12,0.5,1,1,FIRE,FIRE,full,closed,200,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE4,pico,D,O,Y,11.5,0.1,0.5,1,FIRE,FIRE,full,closed,50,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NE2,pico,D,O,Y,11.5,0.5,5,1,FIRE,FIRE,full,both,400,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NW5,pico,D,O,Y,11,0.1,0.5,1,FIRE,FIRE,partial,open,150,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NW6,pico,D,N,N,11,0.5,5,1,FIRE,FIRE,partial,open,20,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE1,pico,D,O,Y,10.5,0.1,0.5,1,FIRE,FIRE,full,both,100,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE3,pico,D,N,N,10.5,0.5,1,1,FIRE,FIRE,full,closed,30,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SW7,pico,D,O,Y,10.5,2,20,1,FIRE,FIRE,full,closed,50,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE6,pico,D,O,Y,10,0.1,0.5,1,FIRE,FIRE,full,closed,30,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NE8,pico,D,O,Y,10,0.5,1,1,FIRE,FIRE,full,open,30,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NW2,pico,D,O,Y,10,0.5,5,1,FIRE,FIRE,full,open,10,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SW6,pico,D,O,Y,10,0.5,2,1,FIRE,FIRE,full,both,100,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE8,pico,D,O,Y,10,0.5,3,1,FIRE,FIRE,partial,none,0,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE12,pico,D,O,Y,8.5,0.1,0.5,1,FIRE,FIRE,full,closed,100,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,SE2,pico,D,N,N,8.5,0.1,0.5,1,FIRE,FIRE,full,closed,5,snag,live,stand,live,stand,dead,stand
LL3,3,7/1/2016,CEC0701L1,NW4,pico,D,N,N,8.5,0.5,1,1,FIRE,FIRE,partial,closed,20,snag,live,stand,live,stand,dead,stand
